id,Body Mass (g)
0,3990.4456983052064
1,5464.01282051282
2,3500.103930995475
3,3655.500671660211
4,3500.103930995475
5,3745.984448504282
6,4680.135169631093
7,5085.090909090909
8,4668.151996554171
9,4133.901098901099
10,4210.535714285716
11,4646.312252964427
12,4765.313741059664
13,4680.135169631093
14,5085.090909090909
15,5385.178571428571
16,3898.2200254273594
17,4133.901098901099
18,3442.893963675214
19,3500.103930995475
20,4133.901098901099
21,5464.01282051282
22,5464.01282051282
23,3898.2200254273594
24,3655.500671660211
25,4646.312252964427
26,3442.893963675214
27,4133.901098901099
28,4133.901098901099
29,4668.151996554171
30,3500.103930995475
31,4731.490824392999
32,3745.984448504282
33,4753.330567982742
34,3712.710638980473
35,3442.893963675214
36,4575.926323676324
37,3442.893963675214
38,4133.901098901099
39,4587.9094967532465
40,4210.535714285716
41,3442.893963675214
42,4133.901098901099
43,5385.178571428571
44,3442.893963675214
45,4680.135169631093
46,3442.893963675214
47,4133.901098901099
48,4719.507651316075
49,5464.01282051282
50,3651.7721688034194
51,4133.901098901099
52,3442.893963675214
53,3864.551724773765
54,4133.901098901099
55,4133.901098901099
56,4680.135169631093
57,4133.901098901099
58,4719.507651316075
59,3831.2779152499547
60,3745.984448504282
61,3442.893963675214
62,3712.710638980473
63,5464.01282051282
64,3442.893963675214
65,4158.937156593407
66,4133.901098901099
67,4680.135169631093
68,4133.901098901099
69,3745.984448504282
70,4765.313741059664
71,3442.893963675214
72,3442.893963675214
73,3688.774481184021
74,5464.01282051282
75,3898.2200254273594
76,3442.893963675214
77,3745.984448504282
78,5432.845238095238
79,4765.313741059664
80,4133.901098901099
81,3500.103930995475
82,4133.901098901099
83,4680.135169631093
84,5432.845238095238
85,4210.535714285716
86,5385.178571428571
87,4133.901098901099
88,3442.893963675214
89,5385.178571428571
90,4646.312252964427
91,3500.103930995475
92,3500.103930995475
93,3442.893963675214
94,3442.893963675214
95,3688.774481184021
96,3442.893963675214
97,3476.167773199024
98,4753.330567982742
99,4210.535714285716
100,3688.774481184021
101,3619.5878427128423
102,3442.893963675214
103,5432.845238095238
104,5464.01282051282
105,3652.8616522366524
106,5432.845238095238
107,5416.346153846154
108,3712.710638980473
109,3442.893963675214
110,4646.312252964427
111,3442.893963675214
112,4210.535714285716
113,4133.901098901099
114,5385.178571428571
115,3688.774481184021
116,3500.103930995475
117,3688.774481184021
118,4133.901098901099
119,4133.901098901099
120,3745.984448504282
121,5085.090909090909
122,3442.893963675214
123,4262.88043478261
124,3898.2200254273594
125,4158.937156593407
126,5385.178571428571
127,4133.901098901099
128,3442.893963675214
129,3898.2200254273594
130,4133.901098901099
131,4133.901098901099
132,5416.346153846154
133,5385.178571428571
134,5385.178571428571
135,4133.901098901099
136,3442.893963675214
137,3442.893963675214
138,4680.135169631093
139,3688.774481184021
140,4133.901098901099
141,4680.135169631093
142,3442.893963675214
143,3500.103930995475
144,4210.535714285716
145,3655.500671660211
146,4634.329079887504
147,3442.893963675214
148,5432.845238095238
149,4133.901098901099
150,5416.346153846154
151,3476.167773199024
152,4765.313741059664
153,5464.01282051282
154,4158.937156593407
155,5464.01282051282
156,3500.103930995475
157,3898.2200254273594
158,3442.893963675214
159,3442.893963675214
160,4133.901098901099
161,3655.500671660211
162,3745.984448504282
163,3442.893963675214
164,5385.178571428571
165,3442.893963675214
166,5464.01282051282
167,4668.151996554171
168,4133.901098901099
169,4133.901098901099
170,5464.01282051282
171,3688.774481184021
172,5464.01282051282
173,3442.893963675214
174,3476.167773199024
175,4133.901098901099
176,3990.4456983052064
177,4680.135169631093
178,5385.178571428571
179,3500.103930995475
180,4133.901098901099
181,3898.2200254273594
182,3712.710638980473
183,4262.88043478261
184,4646.312252964427
185,4210.535714285716
186,4784.498150400324
187,5385.178571428571
188,3500.103930995475
189,3442.893963675214
190,4133.901098901099
191,3864.551724773765
192,3534.4043803418804
193,4133.901098901099
194,4800.997234649409
195,5464.01282051282
196,4133.901098901099
197,5416.346153846154
198,3442.893963675214
199,3442.893963675214
200,4133.901098901099
201,4646.312252964427
202,4133.901098901099
203,4668.151996554171
204,4133.901098901099
205,3442.893963675214
206,3442.893963675214
207,3813.953198504282
208,4753.330567982742
209,4765.313741059664
210,3652.8616522366524
211,3442.893963675214
212,3442.893963675214
213,3500.103930995475
214,3745.984448504282
215,4133.901098901099
216,5432.845238095238
217,3745.984448504282
218,3898.2200254273594
219,4133.901098901099
220,3500.103930995475
221,3442.893963675214
222,4680.135169631093
223,3898.2200254273594
224,4719.507651316075
225,4668.151996554171
226,3864.9462159035493
227,4133.901098901099
