id,Body Mass (g)
0,4319.814357084813
1,5740.260614624837
2,3639.6180689125476
3,3405.3516485816363
4,3211.368374569921
5,4121.944331236722
6,4610.064189831695
7,5154.03968980344
8,4762.050598342285
9,3814.477361758838
10,4261.7411438840445
11,4623.685114944495
12,4734.736243150103
13,4707.530293355532
14,5074.591842449171
15,5132.64010905822
16,4209.807684194158
17,4025.0628135046263
18,3431.0537177074248
19,3534.3114102974205
20,4162.060071584678
21,5530.606441574698
22,5451.0052458085365
23,4023.9419833675
24,3527.3233279453625
25,4632.448430425278
26,3418.2738270494547
27,4149.778272022986
28,4089.3671534843743
29,4738.140923665991
30,3618.516865219838
31,4783.540550732346
32,3614.146968722126
33,5028.1455189898825
34,3966.1685576824893
35,3141.6091111482647
36,4611.213100193305
37,3566.8377326770196
38,3877.3391575303303
39,4578.691118868214
40,4113.177333750216
41,3521.3799737359595
42,3937.105913741607
43,5459.801561402465
44,3646.866625136149
45,4647.320939127536
46,3326.6835065504374
47,4312.519014206844
48,4733.428637301662
49,5498.8589376851405
50,3699.4268150491826
51,4068.3481488125835
52,3248.3675831147066
53,4052.8880846154334
54,4284.522237774441
55,4189.767219719885
56,4688.068854549045
57,4127.222332570111
58,4814.949095425081
59,3726.8903860384225
60,4102.252825141071
61,3466.0090607146694
62,3952.070327367006
63,5555.87593402362
64,3272.772732841705
65,4272.937709502947
66,4217.157796540132
67,4500.363518689587
68,3867.771069014223
69,3821.348409927723
70,4735.94766744725
71,3070.2382496004293
72,3437.194487049803
73,3550.06847714369
74,5397.845530727472
75,4097.0643236398355
76,3327.429822338706
77,3801.7307382226827
78,5393.839085854843
79,4611.641369097046
80,4161.286271416651
81,3322.471122976811
82,4310.947024664743
83,4682.758139390149
84,5253.394816465797
85,4142.495003942534
86,5187.509860107636
87,4296.492315990414
88,3479.0834702443744
89,5168.531944483043
90,4586.4152184699615
91,3515.4264199578583
92,3532.269495775282
93,3712.691359159836
94,3332.50403898738
95,3551.2446532413333
96,3464.5232600339177
97,3045.740685589205
98,4766.871422679321
99,4316.105043026333
100,3680.794437841946
101,3346.780564285623
102,3169.7636741226297
103,5382.922437917269
104,5892.1997797874565
105,3283.7608224873957
106,5302.629296382732
107,5241.283397379463
108,4070.888855915904
109,3299.1726823593817
110,4550.194326402152
111,3229.105918436241
112,4213.778355351068
113,3866.932904007972
114,5275.064714240451
115,3685.6638989555777
116,3682.8269795435963
117,3522.7551479084777
118,4279.602236135793
119,3988.7669369568757
120,3911.473902644817
121,5254.066904961031
122,3394.635155799714
123,4416.26057699871
124,3955.6199983488077
125,4187.101773923203
126,5104.839051589687
127,4194.47239184698
128,3389.3399893319047
129,3822.484482523266
130,3974.621686191389
131,3992.8271302811027
132,5318.012179437011
133,5151.789350981967
134,5207.638550336266
135,3763.9876425916627
136,3512.410186678736
137,3403.5861974283016
138,4676.306206176
139,3581.0306314711816
140,3991.8592993268066
141,4555.926566151451
142,3222.7050060994616
143,3211.9049233300466
144,4295.984152844503
145,3520.7488281540273
146,4702.154456871869
147,3543.5167034162478
148,5366.775987981591
149,4146.06842934624
150,5247.670587098551
151,3153.676834564124
152,4850.472669602718
153,5407.750019803265
154,4162.706938913923
155,5526.199122438906
156,3479.451755314578
157,3976.0207162893803
158,3589.404973226364
159,3390.5418874975485
160,3962.5135017475086
161,3525.6301946423664
162,3393.237010739048
163,3037.690747452075
164,5181.764575874799
165,3337.1820181967896
166,5455.788570210092
167,4771.812480926308
168,3911.7329254662
169,3577.168326785053
170,5614.294934058472
171,3519.6985262527123
172,5393.032911760051
173,3332.5865918928002
174,3292.8366267270967
175,4113.743903590064
176,4108.482686529258
177,4460.783650275011
178,5274.061819062265
179,3306.1649056709803
180,4048.0598720319504
181,4257.933480155702
182,3885.3812051724726
183,4495.234977380313
184,4567.440289732962
185,4399.472825100103
186,4924.885281278428
187,5180.724551119129
188,3382.227206855876
189,3033.513593189132
190,4122.822231559228
191,3601.3212011563146
192,3655.040671729247
193,4199.967590667548
194,4945.359327484528
195,5320.391799744225
196,4356.444015016345
197,5315.064157535696
198,3467.507194939083
199,3427.397824944901
200,3882.6396159259384
201,4673.2907142548975
202,3847.5455255023808
203,4734.5183760740365
204,4352.282087883626
205,3255.60910607991
206,3562.255684392153
207,4119.02712802048
208,4834.911267067926
209,4721.479196174496
210,3289.237529151481
211,3340.8864466821633
212,3224.330518029219
213,3775.4360598228095
214,3741.0702917459366
215,3932.4475804520134
216,5315.364933262209
217,3758.3729696550063
218,4051.1391300028827
219,3929.765318783133
220,3344.5058988423307
221,3358.1786059720625
222,4656.725508268962
223,4007.9180927865928
224,4802.214130040711
225,4586.712236335863
226,4011.0754753088568
227,4029.796141009887
